2017,Beauty and the Beast (2017),1263.5
2016,Captain America: Civil War,1153.3
2015,Star Wars: The Force Awakens,2068.2
2014,Transformers: Age of Extinction,1104.1
2013,Frozen,1276.5
2012,Marvel's The Avengers,1518.8
2011,Harry Potter and the Deathly Hallows Part 2,1341.5
2010,Toy Story 3,1067
2009,Avatar,2777.2
2008,The Dark Knight,1003
2007,Pirates of the Caribbean: At World's End,963.4
2006,Pirates of the Caribbean: Dead Man's Chest,1066.2
2005,Harry Potter and the Goblet of Fire,896.9
2004,Shrek 2,919.8
2003,The Lord of the Rings: The Return of the King,1119.1
2002,The Lord of the Rings: The Two Towers,923.3
2001,Harry Potter and the Sorcerer's Stone,974.8
2000,Mission: Impossible II,546.4
1999,Star Wars: Episode I - The Phantom Menace,983.6
1998,Armageddon,553.7
1997,Titanic,2128.9
1996,Independence Day,817.4
1995,Toy Story,373.6
1994,The Lion King,858.6
1993,Jurassic Park,983.8
1992,Aladdin,504.1
1991,Terminator 2: Judgment Day,519.8
1990,Ghost,505.7
1989,Indiana Jones and the Last Crusade,474.2
